"","state","crimes.against.society","creime.against.persons","creime.against.property"
"1","Alabama","0",13,4
"2","Alaska","0",8,4
"3","Arizona","0",218,73
"4","Arkansas","1",8,5
"5","California","0",740,390
"6","Colorado","0",80,45
"7","Connecticut","5",70,49
"8","Delaware","0",14,5
"9","District of Columbia","0",102,25
"10","Florida","0",74,35
"11","Georgia","0",34,12
"12","Idaho","0",22,13
"13","Illinois","0",87,34
"14","Indiana","5",133,25
"15","Iowa","1",14,5
"16","Kansas","0",53,17
"17","Kentucky","2",130,107
"18","Louisiana","2",22,9
"19","Maine","0",30,15
"20","Maryland","0",22,18
"21","Massachusetts","2",281,158
"22","Michigan","16",342,100
"23","Minnesota","0",127,37
"24","Mississippi","0",3,7
"25","Missouri","1",80,32
"26","Montana","1",7,12
"27","Nebraska","2",24,9
"28","Nevada","0",35,14
"29","New Hampshire","0",30,10
"30","New Jersey","0",193,115
"31","New Mexico","0",27,9
"32","New York","0",271,320
"33","North Carolina","0",144,63
"34","North Dakota","0",8,0
"35","Ohio","3",315,190
"36","Oklahoma","0",26,8
"37","Oregon","2",72,48
"38","Pennsylvania","0",52,13
"39","Rhode Island","1",4,8
"40","South Carolina","0",13,10
"41","South Dakota","4",12,5
"42","Tennessee","14",125,51
"43","Texas","0",162,62
"44","Utah","13",29,30
"45","Vermont","0",10,16
"46","Virginia","1",95,53
"47","Washington","5",301,175
"48","West Virginia","1",30,17
"49","Wisconsin","0",24,18
"50","Wyoming","0",4,0
