"","state","variable","value"
"1","Alabama","avg_hatecrimes_per_100k_fbi_2010to2015","1.806410489"
"51","Alabama","avg_hatecrimes_per_100k_fbi_2016","0.349556885242531"
"101","Alabama","change","decrease"
"2","Alaska","avg_hatecrimes_per_100k_fbi_2010to2015","1.656700109"
"52","Alaska","avg_hatecrimes_per_100k_fbi_2016","1.75227188789773"
"102","Alaska","change","increase"
"3","Arizona","avg_hatecrimes_per_100k_fbi_2010to2015","3.413927994"
"53","Arizona","avg_hatecrimes_per_100k_fbi_2016","4.19848534230857"
"103","Arizona","change","increase"
"4","Arkansas","avg_hatecrimes_per_100k_fbi_2010to2015","0.869208872"
"54","Arkansas","avg_hatecrimes_per_100k_fbi_2016","0.501966369591814"
"104","Arkansas","change","decrease"
"5","California","avg_hatecrimes_per_100k_fbi_2010to2015","2.397985899"
"55","California","avg_hatecrimes_per_100k_fbi_2016","2.90955287993888"
"105","California","change","increase"
"6","Colorado","avg_hatecrimes_per_100k_fbi_2010to2015","2.804688765"
"56","Colorado","avg_hatecrimes_per_100k_fbi_2016","2.27414451105442"
"106","Colorado","change","decrease"
"7","Connecticut","avg_hatecrimes_per_100k_fbi_2010to2015","3.772701469"
"57","Connecticut","avg_hatecrimes_per_100k_fbi_2016","3.46712328307496"
"107","Connecticut","change","decrease"
"8","Delaware","avg_hatecrimes_per_100k_fbi_2010to2015","1.469979563"
"58","Delaware","avg_hatecrimes_per_100k_fbi_2016","1.9956620608887"
"108","Delaware","change","increase"
"9","District of Columbia","avg_hatecrimes_per_100k_fbi_2010to2015","10.95347971"
"59","District of Columbia","avg_hatecrimes_per_100k_fbi_2016","18.6443912679654"
"109","District of Columbia","change","increase"
"10","Florida","avg_hatecrimes_per_100k_fbi_2010to2015","0.698070342"
"60","Florida","avg_hatecrimes_per_100k_fbi_2016","0.533658340965861"
"110","Florida","change","decrease"
"11","Georgia","avg_hatecrimes_per_100k_fbi_2010to2015","0.412011824"
"61","Georgia","avg_hatecrimes_per_100k_fbi_2016","0.446152713612342"
"111","Georgia","change","increase"
"12","Idaho","avg_hatecrimes_per_100k_fbi_2010to2015","1.891330529"
"62","Idaho","avg_hatecrimes_per_100k_fbi_2016","2.07944674833941"
"112","Idaho","change","increase"
"13","Illinois","avg_hatecrimes_per_100k_fbi_2010to2015","1.044015798"
"63","Illinois","avg_hatecrimes_per_100k_fbi_2016","0.953010415388337"
"113","Illinois","change","decrease"
"14","Indiana","avg_hatecrimes_per_100k_fbi_2010to2015","1.757356567"
"64","Indiana","avg_hatecrimes_per_100k_fbi_2016","2.4573902846849"
"114","Indiana","change","increase"
"15","Iowa","avg_hatecrimes_per_100k_fbi_2010to2015","0.561395565"
"65","Iowa","avg_hatecrimes_per_100k_fbi_2016","0.669922062543286"
"115","Iowa","change","increase"
"16","Kansas","avg_hatecrimes_per_100k_fbi_2010to2015","2.143986672"
"66","Kansas","avg_hatecrimes_per_100k_fbi_2016","2.40774137005299"
"116","Kansas","change","increase"
"17","Kentucky","avg_hatecrimes_per_100k_fbi_2010to2015","4.207889621"
"67","Kentucky","avg_hatecrimes_per_100k_fbi_2016","5.43162975487348"
"117","Kentucky","change","increase"
"18","Louisiana","avg_hatecrimes_per_100k_fbi_2010to2015","1.341169554"
"68","Louisiana","avg_hatecrimes_per_100k_fbi_2016","0.704877280865401"
"118","Louisiana","change","decrease"
"19","Maine","avg_hatecrimes_per_100k_fbi_2010to2015","2.626610924"
"69","Maine","avg_hatecrimes_per_100k_fbi_2016","3.37970031821756"
"119","Maine","change","increase"
"20","Maryland","avg_hatecrimes_per_100k_fbi_2010to2015","1.324839538"
"70","Maryland","avg_hatecrimes_per_100k_fbi_2016","0.664844217858148"
"120","Maryland","change","decrease"
"21","Massachusetts","avg_hatecrimes_per_100k_fbi_2010to2015","4.801899339"
"71","Massachusetts","avg_hatecrimes_per_100k_fbi_2016","6.51812103710352"
"121","Massachusetts","change","increase"
"22","Michigan","avg_hatecrimes_per_100k_fbi_2010to2015","3.200442266"
"72","Michigan","avg_hatecrimes_per_100k_fbi_2016","4.62314797095172"
"122","Michigan","change","increase"
"23","Minnesota","avg_hatecrimes_per_100k_fbi_2010to2015","3.612411816"
"73","Minnesota","avg_hatecrimes_per_100k_fbi_2016","2.9891564274472"
"123","Minnesota","change","decrease"
"24","Mississippi","avg_hatecrimes_per_100k_fbi_2010to2015","0.622745989"
"74","Mississippi","avg_hatecrimes_per_100k_fbi_2016","0.334590725278932"
"124","Mississippi","change","decrease"
"25","Missouri","avg_hatecrimes_per_100k_fbi_2010to2015","1.908954989"
"75","Missouri","avg_hatecrimes_per_100k_fbi_2016","1.87099950763171"
"125","Missouri","change","decrease"
"26","Montana","avg_hatecrimes_per_100k_fbi_2010to2015","2.954959378"
"76","Montana","avg_hatecrimes_per_100k_fbi_2016","1.91842842343552"
"126","Montana","change","decrease"
"27","Nebraska","avg_hatecrimes_per_100k_fbi_2010to2015","2.68624842"
"77","Nebraska","avg_hatecrimes_per_100k_fbi_2016","1.83523183697269"
"127","Nebraska","change","decrease"
"28","Nevada","avg_hatecrimes_per_100k_fbi_2010to2015","2.113990154"
"78","Nevada","avg_hatecrimes_per_100k_fbi_2016","1.66663378749671"
"128","Nevada","change","decrease"
"29","New Hampshire","avg_hatecrimes_per_100k_fbi_2010to2015","2.105988585"
"79","New Hampshire","avg_hatecrimes_per_100k_fbi_2016","2.99671485134421"
"129","New Hampshire","change","increase"
"30","New Jersey","avg_hatecrimes_per_100k_fbi_2010to2015","4.413202591"
"80","New Jersey","avg_hatecrimes_per_100k_fbi_2016","3.44346880737135"
"130","New Jersey","change","decrease"
"31","New Mexico","avg_hatecrimes_per_100k_fbi_2010to2015","1.886435184"
"81","New Mexico","avg_hatecrimes_per_100k_fbi_2016","1.72992506060744"
"131","New Mexico","change","decrease"
"32","New York","avg_hatecrimes_per_100k_fbi_2010to2015","3.102164284"
"82","New York","avg_hatecrimes_per_100k_fbi_2016","3.02857051117358"
"132","New York","change","decrease"
"33","North Carolina","avg_hatecrimes_per_100k_fbi_2010to2015","1.262679796"
"83","North Carolina","avg_hatecrimes_per_100k_fbi_2016","2.04990978425882"
"133","North Carolina","change","increase"
"34","North Dakota","avg_hatecrimes_per_100k_fbi_2010to2015","4.741069885"
"84","North Dakota","avg_hatecrimes_per_100k_fbi_2016","1.05547580849447"
"134","North Dakota","change","decrease"
"35","Ohio","avg_hatecrimes_per_100k_fbi_2010to2015","3.240420404"
"85","Ohio","avg_hatecrimes_per_100k_fbi_2016","4.37389086780664"
"135","Ohio","change","increase"
"36","Oklahoma","avg_hatecrimes_per_100k_fbi_2010to2015","1.08167215"
"86","Oklahoma","avg_hatecrimes_per_100k_fbi_2016","0.892046791167513"
"136","Oklahoma","change","decrease"
"37","Oregon","avg_hatecrimes_per_100k_fbi_2010to2015","3.394886113"
"87","Oregon","avg_hatecrimes_per_100k_fbi_2016","2.98036015942484"
"137","Oregon","change","decrease"
"38","Pennsylvania","avg_hatecrimes_per_100k_fbi_2010to2015","0.43092759"
"88","Pennsylvania","avg_hatecrimes_per_100k_fbi_2016","0.524083309847361"
"138","Pennsylvania","change","increase"
"39","Rhode Island","avg_hatecrimes_per_100k_fbi_2010to2015","1.282571834"
"89","Rhode Island","avg_hatecrimes_per_100k_fbi_2016","1.23056418528132"
"139","Rhode Island","change","decrease"
